整点时间点,虚拟机名称,CPU使用率(%),内存使用量（GB)
8,  192.168.64.185,  0.45,  null
9,  192.168.64.185,  0.1,  null
10,  192.168.64.185,  0.06,  null
11,  192.168.64.185,  0.1,  null
12,  192.168.64.185,  0.11,  null
13,  192.168.64.185,  0.08,  null
14,  192.168.64.185,  0.1,  null
15,  192.168.64.185,  0.06,  null
16,  192.168.64.185,  0.45,  null
17,  192.168.64.185,  0.07,  null
18,  192.168.64.185,  0.04,  null
19,  192.168.64.185,  0.09,  null
20,  192.168.64.185,  0.04,  null
